Código;Mídias Favoritas
1;205,2196,3377,851,1043,2209,521,1144,1708,2324,3784,2406,1647,3624,2833,1801
5;811,2324,3558,2925,952,3666,835,789,2874,1771,782,4282,3003,3642,1138,992,1233,2566,643
7;1700,4660,4355,2116,255,3530,1221,3726,1354,4107,598
8;4220,3013,4075,3147,805,1126,3820,3847,983,4970,2866,416,994,3717,289,341
14;3482,3278,3683,3133,2258,1898,2983,1271,1008,751,2127,3273,2686,2188,4664,700,2378,471
16;441,3226,2946,159,3970,4183,1951,2245,2217,3202,108,3588,1528,1525,3207,3094,745,4982,1310,3048,3650,1923,1986
18;3922,2731,1911,1043,395,1598,282,2898,2979,3693,4720,541,3624,620,3977,4525,1570,4016,3056,1257
24;4895,708,2016,4567,1132,1250,1815,3734,4230,707,2781,765,1614,73,4274,2782,4109
28;1531,4593,4650,2402,767,3312,1534,1132,1350,2945,336,682,2634,190,1798
29;3461,3825
34;4929,4902,3461,3275,3736,604,1138,3109,300,3684
36;1456,857,1858,4805,665,4458,1103,1106,259,4501,2761,494,3334,3895,3563,1821,1620
38;2617,4606,3142,4173,125,1534
40;4451,1280,1720,4,4287,1221,4871,4856,4034,3856,515,1678,2335,4202,3671,4839,2539,2768,2619,4782,1550,2752
43;2780,2223,1361,3172,3654,539,3526,4488,457,3994,1304,715,4490,4995,348,4312
46;4404,4996,4310,4149,297,3161,4222,1342,4240,3360,1842,489
49;3070,4061,2812,3267,2730,4584,4499,783,3641,3492,97,2618,349,1265,2895,4480,2247,4510,4006,3641
50;2455,4443,2710,4705,1823,637,3845,4874,1583
52;3726,3439,3482,3009,4600,992,669,1672,3870,2647,5000,145,76,4231,2072,4030,493,358,3954,1813,2575,2778,1446,1365,3154,3782,4333,3334,3930
53;1012,1365,4160,1590,2695,1645,1313,872,1254,1966,188,2740,2688,3654,3067,2044
60;3050,4517,2987,863,2258,1021,2626,689,1089,4268,1715,711,2786,4919,1943,1105,1371,4661,4152,2867,4187,4032,987,2801,4392,2288
67;4811,1189,2954,1972,4718,1994,1090,3701,4290,4808,3913,667,3413
71;2753,2917,2942,801,415,2646,4834,2243,3889,3629,1954,2470,2008,98
73;304,1362,4235,532,1098,4529,3121,3313,4306,3796,573,2560,4631,2934,2714,1936,4321,4580,3360,4700,4094,4448
76;4439,4614,3116,854,2131,595,2798,4496,2208
77;2303,2013
78;2700,1003,4171,1630,1666
91;699,1619,1591,4404,2617,695,1453,3368,2938,4868,3482,4838,4638,1601,3283,2506,1710,119,4119,2045,3416,670,185,509,904
95;2812,4973,4236,4068,82,104,3560,1611,4016,327,2883,3548,1604,3242,4205,3570,1080,236,1830,182,3788,4392,4657,559,1656,1061,1717,1825,644,3427,4107,541
97;916,1985,1803,2805,324,1895,783,3952,2570,2507,1534
98;2967,2887,1542,3831,3677,3805,3219,4718,4715,3697,3030,2938,4921,2620,4232,1346,2661,1734
99;2348,1043,2472,3274,2660,2954,962,1944,3964,4876,815,4419,1897,3132,1325,1364,2093,4046,1311,542,2503
106;4854,1280,393
109;460,4163,20,1010,1970,975,1115,4867,1487,2910,4680,340,4569,2222,4876,1995,3531
110;4730,4900,2693
114;851,3368,2353,2850,1440,3439,3314,1162,2106,124,2438,3114,2125,1583
115;4963,2221,2999,380,2668,2199,2679,2260,4733,2141,295
118;1733,2102,3849,3421,587,298,497,2114,2182,4761,906,1330,3135,3557,2629,3377,2281,1945
119;3264,3925,3359,4177,503,4723,1021,2668,3637,2297,271,2468,223,3174,4356,2922
121;3025,2850,489
126;2628,1528,4559,4640,2116,3861,3290,4688,980,4873,4402,1141,2798,4959,799,2295,326,1942,4516
129;1182,2704,3977,4368,4542,244,790,4844,3044,479,1933
142;1819,4851,2158,4913,3172,361,4795,4821,411,4107,567,2754,51,365,642,4211
143;243,4779,3778,3966,102,1456,770,4688
145;4456,795,2390,4289,1562,4904,4842,2913,2613,3122,272,2816,1903,3610,3596,4946,2904
152;4477,1221,967,1355,1072,2532,382,2835,3163,333,2238,4598,335,2372,2088,402,1123
156;2781,4890,1710,4865,2250,4586,2206,4731,3882,1263,207,4982,1810,425,1143
161;98,1667,4595,825,3584,717,4733,1125,4713,858,2455,3718,3100,652,2706,2188,4088,2599,2000,3327,265,934,1780,957,4232,3882,4857,2240,331,1309,4761,268
167;2703,1783,2150,3181,1761,3555,616,4457,3542,950,3607,763,242,4970,837,330,2966,3938,2305,214,2969,3441
169;1702,113,3990,319,2992,2336,2245,3684,440,1100,1181,3962,617,2745,26,3265,1496,864,1187,1489,4768
178;195,2680,886,143,4904,4379,4054,1941,1475,2909,1954,3109,4734,4364,4735,1378
179;2704,3283,1878,4460,3980,1751,2453,2064,4558,4452,2699,4448,4726,4909,2831,1663,3988,3776,3503
181;1900,910,4039,4181,3945,1996,2844,1037,135,301,110,1333,1815,1859,4322,4340,1465,1981,1940
182;3266,1250,4207,45,50,107,678,3391,2011,3823,4512,1845,1838,3903,1584,263,2793,1708,2482,1659,4870,4495,1699,67,4847
184;130,1215,4342,1350,1869,385,1254,1042,404
185;2772,1603,1847,4480,3320,3021,1436,3281,3111,2723,1708,3681,153,3853,185,3594,2401,3323
188;973,2188,4392,411,668,809,3802,3308,1533,2708,1373,4645,357,3100,2241,3686,2132,83,4123,1367,1090,2027,3590,223,3458,3552,1613,3867,2355,1325,3605,3941,4040
189;4764,690,3673,2649,1287,4512,1482,3857,2103,3029,898,4640,1980,3916,3161,1969,3377,4092,4841,3127,3544,2685,3564,2922,1751,3358,919,2013,4957,4123,4821,980,1315,105
190;514,3752,1452,3765,3165,1306,4188,260,426,1612,4371,4458,4577,764,31,2452
193;817,1238,351,1387,2984,1169,3483,4566,2312
196;4361,3753,4154,647,1998,1616,3811,724,2885,2982,3734,1549,412,1471,4934,2630
197;3970,552,3044,1719,4478
199;720,316,1299,2798,3597,2659,1735,2725,3663
203;4059,1066,4042,3401,1780,342,611,3402,1071,2674,4189,4625,1347,2087,493,3895,2382,571,3790,2931
206;2470,4817,4712,3623,4757,1220,3059,4954,1145,922,3041
212;3016,2483,2852,1844,3884,4110,4779,1462,84,4592,2505,3927,2919,1328,621
213;1307,3771,2032,1674,1256,3352,2883,2789,215,2005,2555,2405,1666,2159,4577,2134,1535,3299,901,2505,3622,1662
215;3064,704,4045,2942,1463,4521
223;1942,3893,4223,465,3782,710,568,760,4205,640,2898,3217,1959,3428,1172,1717,1748,4745,1509,1633,750,4313,2236,3817,3477,667
226;4470,4207
230;2496,2318,3690,372,3596,1693,4181,722,3945,4756,315,4154,950,869
231;882,3677,2884,136,1973,4515,2378,881,1043,3624,3221,480,2508,1594
239;3675,2467,4392,880,1162,1268,4747,302,1765
246;4544,4171,4626,457,5,1128,1355,3671,301,3429,1489,3332,3891,3721,4619,132,1048
247;4365,564,215,383,909,4834,4539,4731,1786,127,3361
249;123,1274,4227,347,230,1763,1979,2779,2728,2558,1534,647,2363,3140,3780,3772,2801,2911,3789,386,1404,350,1563,50,1557,1045,1324,3916,4954,1243,3137,1530,2894
253;2283,76,847,254,4983,1604,1860,1329,2505,2087,1846,4336,277
255;4214,1501,1955,1231,4706,3948,2651,4323,4274,2957,4044,262,1428,1822,4892,2,3162,3991
261;4216,4058,1084,1174,3670,332,4357,4096,3987
264;152,887,2084,3754,1536,4121,2177,2398,4091,3053,1883
265;1768,3489,1570,2070,4790,97,1420,1287,3284,2804,4174,2742
266;832,889,485,2121,4647,720,3101,1055,370,1797,3955,4164,4323,598
267;3196,2947,3290,3224,4392,3276,4153,333,4911,1895,4788,2481,3594,4523
270;3123,1931,4181,2724,1102,2940,3159,290,4784,1557,3372,735
271;955,128,1482,4654,475,914,3926,985,2449,3645,3678,4671,623,3562,934,2583,2561,2607
273;1846,1766,3884,4163,3705,1964,1338,2954,2167,196,1649,8
274;992,2353,3636,4,4524,2724,3113,3821,4478,1165,2407,3652,206
281;4907,122,3261,2347,2820,2448,911,1192,2637,2232,690,2742,1455,1654,174,3398,3877
286;1519,959,3034,691,4333,3182,580,3003,4929
287;1969,2240,1395,2499,1477,3437,1515,2148,855,4403,4329,3204,3035,1938,2379,1615,1857,2065,4822,3113
288;3527,1100,3331,192,4871,2565,2894,4260,2503,4729,298,2254,3506,1136,968,3121,3692,1820,2944
294;1372,4421,1455
299;3768,1572,4579,3112,299,2180,4069,712,2949,2997,826,1360,3085,1573,2854,4770,525,4244,2593,1101,2637,464,3829,56,3107,2130
305;1127,3011,741,1931,1832,883,1763,4285,1156,1721,1534,1404,4108,2649,1757,816,4538,3382,1350,708,2768,2179,2871,2379,455,2628,2193,4496,1548
308;64,1680,3776,4317
309;2095,1709,3828,3502,3318,3728,1501,3350,1647,2908,4191,1312,268,1933,3653,882,1134,1586,1177,4374,4624,3452,4369,2802,15,4504
310;2018,267,3534,2893,530,586
314;4796,834,1342,989,2737,2804,4755,605
315;3830,1544,2672,4508,3059,2706,1229,3824,490
319;806,1934,2149,904,2863,4239,4949,3438,4565,363,1839,2983,4655,2507,3697,4028,4588,518,3309,3304,4295,4709,1725,2406,4105
320;4593,4202,535,382,4487,445,3576,65,854,1221,4056,871,1079,1831,3868,2434,512,2350,4262
323;4290,4951,351,3665,193,4065,3832,1541,3822,3472,1628,1405,1972,4253,1544,1472,4002,2440,236,4760,3126,72,4858,3016,4092,2386,2721
335;2162,2525,1391,4280,2138,3228,4912
336;3545,2515,1240,951,2764,1052,3032,3049,1163,1520
338;3468,2680,4584,4944,1836,2763,534,1173,658,3357,2530,3787,1792,4285,3697,2296,3652,1870,1071,1270,3869,2362
339;1063,1136,4276,1504,3123,2573,2333,2704,1216,1068,814,4550,3543,4631,926,1377
341;4782,3090,3284,1340,44,1824,387,1153,4171,4038,4226
342;3296,1862,271,2543,2104,638,4869,1856,1761,2878
348;3490,2761,1924,3155,1209,2908,2707,2335,730,2053
355;2840,2418,2359,2914,920,1910,2231,1093,1469,203,4810,1821,3535,558,2030,1677,2900,965,713,3703,1601,3366,2932,3943,1286,4022
363;3957,424,4798,4961,2767,1022,3389,3981,56,2499,982,4156,212,3188,4910,109,4889,2599
374;3881,3267,4879,23,870,2602,4016,3433,1369,385
376;4169,4062,1307,506,1904
377;1482,637,2324,1065,912,2418,555,2489,818,1207,4190,1646,4554,546,955,2448,4420,3858,3062,1357,1956,4657,4177,1290,3297,372,396,4434,1345,4705,655,263,1820,1057,1895,4526,339
381;4358,4862,4109,2592,3050,1404,3327,2370
386;3245,2900,845,4465,2134,1738,3464,4297,445,186,1579,3456,2918
389;2115,3611,4906,3017,2935,2535,4813,2803,2108,3498,728
392;4145,3428,1608,2329,4950,222,140,3966,1670,2009,4205
396;
397;2901,98,502,2226,2544,4651,1895,2681,4370,3531,877,3115,4427,2327,669,484,2596,2287,1187,3754,816
402;3287,2103,677,1839,371,1755,3785,3668,811,443,3880,3941,2188,664
407;4133,3530,2974,2821,1274,4710,1882,1302,2039,3809,1439,2105,4458,385,195,1594,699,3661,2614
408;4167,4869,3641,2100,84,3367,3459,3411,2834,2710,867
418;527,1819,4477,4145,264,2787,2237,2052,4596,12,693,4105,1297,2999,1006,3436,2315,2371,4604
425;4342,47,905,3456,3868,3940,4088,2031,4873,283,2795,4545,1030,4169,4070,2448,3903,2102,4681,810,4549,4552,1573,928,1319,2009,2671,3163,2802,4277,2150,3727,4253,3451,3370,1333
426;2375,2734
428;3382,1402,3393,3622,4921,11,813,4694,2768,1646,1346,2036,1019,1267,1014,541,3909,1520,3533,3706,866,2875,3232,292
433;2463,4891,2100,2036,2380,1822,2914,3981,2989,242
446;3755,2833,4962,2237,2032,4349,514,4407,1605,4645,4113,969,3956,2152,4658,4971,3581,2625,3288,4601,3625,526
448;4803,4844,1867,3474,2997,1954,3282,1006,603,1158,2957,4106,78,2563,1617,3369,2894,724,3928
449;3879,2659,2956,4145,3861,2235,854,4809,350,2683,4355,4557,4053,2071,2780,2316,3410,1688,340,1058,1827,2190,4223,2230,2326,3383,1776,4253,1553,177
450;57,1613,3005,90,3669,152
452;4991,2874
456;1397,3466,3429,3603,292,174,1210,3421,1220,3780
461;2893,2045,2292,2927,2743,2053,2928,3429,1314,773,3841,18,2631,4652,3735
463;
466;1113,784,2718,918,123,4704,4825,1772,840,3702,1782,2552,1477,2612,126,1487,2941,2510,3786,534,1689,2171,2312,4419
482;1872,2309,1753,4767,1517,588,3543,4694,2077,1455,3528,1974,2407,3568,1432,2810,3852,2788,4625,4876,2905,3251,1820
489;3622,4999,4562,2500,102,3202,3162,4513,3097,1861,122,667,1113,3341,2882,3572,768,1619,123,1618,3616,1336
500;3186
